"","name","count"
"1335","best friend",85
"1336","just never",17
"1337","people will",61
"1338","wonderful day",18
"1339","able find",20
"1340","long since",14
"1341","there much",16
"1342","i seen",43
"1343","read book",31
"1344","get back",156
"1345","city i",19
"1346","i bet",67
"1347","if can",33
"1348","i nothing",20
"1349","follow i",32
"1350","i appreciate",47
"1351","thank follow",16
"1352","in new",14
"1353","heavy rain",12
"1354","never thought",43
"1355","this weeks",12
"1356","thought id",35
"1357","another great",27
"1358","think really",22
"1359","company will",13
"1360","i doubt",37
"1361","yes yes",33
"1362","i might",127
"1363","something will",15
"1364","thanks i",44
"1365","will also",85
"1366","need come",20
"1367","got good",13
"1368","want see",64
"1369","youre going",71
"1370","go get",40
"1371","i slept",13
"1372","stop i",17
"1373","be sure",40
"1374","palm beach",12
"1375","sure check",20
"1376","this just",26
"1377","smile face",11
"1378","find new",17
"1379","need find",19
"1380","he wants",21
"1381","mitt romney",39
"1382","th anniversary",39
"1383","can work",24
"1384","made mistake",17
"1385","taco bell",16
"1386","cuz i",14
"1387","want one",19
"1388","should i",30
"1389","can take",69
"1390","maybe can",28
"1391","the greatest",14
"1392","make sure",236
"1393","credit cards",22
"1394","every week",37
"1395","oh god",40
"1396","labor day",20
"1397","opening day",24
"1398","this means",25
"1399","it will",104
"1400","just right",37
"1401","there will",39
"1402","will always",79
"1403","will never",111
"1404","can expect",20
"1405","if dont",65
"1406","men women",34
"1407","are ready",13
"1408","san antonio",41
"1409","saturday sunday",16
"1410","have ever",25
"1411","money can",11
"1412","i came",82
"1413","day will",30
"1414","will follow",43
"1415","new song",23
"1416","will put",24
"1417","the weather",25
"1418","a woman",19
"1419","rt a",22
"1420","will spend",12
"1421","u cant",20
"1422","radio station",11
"1423","fan base",11
"1424","get life",12
"1425","get get",15
"1426","customer service",38
"1427","love rt",14
"1428","didnt get",58
"1429","one last",34
"1430","we cant",27
"1431","much fun",71
"1432","please email",11
"1433","please send",17
"1434","anyone knows",14
"1435","can go",87
"1436","go back",126
"1437","no matter",46
"1438","world series",29
"1439","season finale",17
"1440","thank god",57
"1441","still cant",24
"1442","know well",23
"1443","maybe ill",21
"1444","just getting",33
"1445","tea party",28
"1446","just couldnt",12
"1447","foster care",13
"1448","years old",75
"1449","better team",11
"1450","just saying",24
"1451","moving forward",13
"1452","cinco de",32
"1453","de mayo",30
"1454","makes sense",60
"1455","hip hop",29
"1456","friends family",43
"1457","just two",35
"1458","yes sir",13
"1459","monday night",37
"1460","really got",16
"1461","since first",13
"1462","like home",14
"1463","need good",16
"1464","happy th",18
"1465","my life",23
"1466","next time",107
"1467","work tomorrow",12
"1468","katy perry",15
"1469","will b",13
"1470","the day",54
"1471","doors open",12
"1472","if havent",22
"1473","day so",13
"1474","long day",39
"1475","follow twitter",16
"1476","twitter facebook",11
"1477","dont wanna",37
"1478","wanna know",16
"1479","want work",14
"1480","we one",13
"1481","comes back",17
"1482","way go",45
"1483","work can",14
"1484","going get",94
"1485","whole life",21
"1486","bay area",38
"1487","palo alto",11
"1488","i meet",13
"1489","just one",111
"1490","i paid",11
"1491","welcome twitter",14
"1492","havent able",14
"1493","nothing wrong",19
"1494","the difference",18
"1495","one night",28
"1496","please let",26
"1497","i recommend",27
"1498","i live",68
"1499","please tell",30
"1500","tell i",51
"1501","want meet",14
"1502","hope u",22
"1503","remember i",34
"1504","real housewives",12
"1505","the real",23
"1506","i move",14
"1507","unfortunately i",19
"1508","had great",34
"1509","home now",18
"1510","great music",15
"1511","day going",16
"1512","night the",16
"1513","just might",22
"1514","great one",16
"1515","just look",19
"1516","id rather",34
"1517","see i",93
"1518","you see",31
"1519","he may",13
"1520","i best",19
"1521","im one",29
"1522","want i",22
